name,genre,tomatometer_score,tomatometer_count,audience_score,audience_count,classification,runtime,release_year,original_language,url
"Planes, Trains and Automobiles","Holiday, Comedy",92%,66,87%,"100,000+",R,1h 32m,1987,English,https://www.rottentomatoes.com/m/planes_trains_and_automobiles
JFK: What the Doctors Saw,"Documentary, History",--,4,86%,Fewer,,1h 32m,2023,English,https://www.rottentomatoes.com/m/jfk_what_the_doctors_saw
EXmas,"Holiday, Romance, Comedy",42%,12,69%,50+,,1h 33m,2023,English,https://www.rottentomatoes.com/m/exmas
Alaskan Nets,"Documentary, Sports & fitness",86%,7,94%,Fewer,,1h 57m,2021,English,https://www.rottentomatoes.com/m/alaskan_nets
The Boss Baby,"Kids & family, Comedy, Adventure, Animation",53%,180,51%,"25,000+",PG (Some Mild Rude Humor),1h 37m,2017,English,https://www.rottentomatoes.com/m/the_boss_baby
The Hitman's Bodyguard,"Action, Comedy",43%,228,67%,"25,000+",R (Strong Violence|Language Throughout),1h 58m,2017,English,https://www.rottentomatoes.com/m/the_hitmans_bodyguard
The Prince of Egypt,"Kids & family, Musical, Animation",79%,92,89%,"100,000+",PG,1h 37m,1998,English,https://www.rottentomatoes.com/m/prince_of_egypt
Carol,"Romance, Drama, Lgbtq+",94%,321,75%,"25,000+",R (Nudity|Brief Language|Scene of Sexuality),1h 58m,2015,English,https://www.rottentomatoes.com/m/carol
Nothing Compares,"Documentary, Music, Biography",99%,88,88%,50+,,1h 37m,2022,English (United Kingdom),https://www.rottentomatoes.com/m/nothing_compares
Andre the Giant,"Documentary, Biography, Sports",92%,24,91%,100+,,1h 25m,2018,English,https://www.rottentomatoes.com/m/andre_the_giant
Beau Is Afraid,"Adventure, Horror, Mystery & thriller, Comedy, Drama",67%,260,71%,250+,R (Graphic Nudity|Drug Use|Language|Sexual Content|Strong Violent Content),2h 59m,2023,English,https://www.rottentomatoes.com/m/beau_is_afraid
Groundhog Day,"Romance, Comedy",94%,145,88%,"250,000+",PG (Thematic Elements),1h 36m,1993,English,https://www.rottentomatoes.com/m/groundhog_day
Munich: The Edge of War,"Biography, History, Drama",86%,85,78%,250+,PG-13 (Some Strong Language|Smoking|Brief Violence|Thematic Elements),2h 3m,2021,English,https://www.rottentomatoes.com/m/munich_the_edge_of_war
Captain Marvel,"Action, Adventure, Sci-fi, Fantasy",79%,553,45%,"100,000+",PG-13 (Brief Suggestive Language|Action|Sequences of Sci-Fi Violence),2h 4m,2019,English,https://www.rottentomatoes.com/m/captain_marvel
Focus,"Comedy, Drama, Mystery & thriller, Romance",56%,228,53%,"10,000+",R (Language|Brief Violence|Some Sexual Content),1h 45m,2015,English,https://www.rottentomatoes.com/m/focus_2015
I Want to Jump,"Drama, Faith & spirituality",--,,--,,,1h 14m,2023,English,https://www.rottentomatoes.com/m/i_want_to_jump
