name,genre,tomatometer_score,tomatometer_count,audience_score,audience_count,classification,runtime,release_year,original_language,url
The Hateful Eight,Western,75%,336,77%,"50,000+",R (Some Graphic Nudity|Language|Strong Bloody Violence|Violent Sexual Content),2h 48m,2015,English,https://www.rottentomatoes.com/m/the_hateful_eight
The Fighter,"Drama, Biography",91%,256,89%,"100,000+",R (Language Throughout|Drug Content|Sexuality|Some Violence),1h 56m,2010,English,https://www.rottentomatoes.com/m/the_fighter_2011
The Infiltrator,"Crime, Drama, Mystery & thriller, Biography",71%,181,71%,"10,000+",R (Language Throughout|Drug Material|Some Sexual Content|Strong Violence),2h 7m,2016,English,https://www.rottentomatoes.com/m/the_infiltrator
Rio,"Kids & family, Comedy, Adventure, Musical, Animation",72%,152,71%,"50,000+",G,1h 36m,2011,English,https://www.rottentomatoes.com/m/rio
The Machine,"Comedy, Action",32%,25,87%,500+,R (Pervasive Language|Drug Use|Some Sexual References|Strong Violence),1h 52m,2023,English,https://www.rottentomatoes.com/m/the_machine_2023
A Christmas Horror Story,"Holiday, Horror, Mystery & thriller, Comedy",83%,23,48%,500+,,1h 39m,2015,English,https://www.rottentomatoes.com/m/a_christmas_horror_story
Klaus,"Kids & family, Holiday, Comedy, Adventure, Animation",95%,78,96%,"2,500+",PG (Rude Humor and Mild Action),1h 38m,2019,English,https://www.rottentomatoes.com/m/klaus
The Green Knight,"Fantasy, Adventure",89%,332,50%,"1,000+",R (Some Sexuality|Graphic Nudity|Violence),2h 5m,2021,English,https://www.rottentomatoes.com/m/the_green_knight
American Underdog,"Biography, Drama",76%,70,98%,"2,500+",PG (Thematic Elements|Some Language),1h 52m,2021,English,https://www.rottentomatoes.com/m/american_underdog
Fighting With My Family,"Comedy, Drama, Biography",93%,246,86%,"5,000+",PG-13 (Drug Content|Crude and Sexual Material|Language Throughout|Some Violence),1h 47m,2019,English,https://www.rottentomatoes.com/m/fighting_with_my_family
Fingernails,"Drama, Sci-fi, Romance",60%,131,45%,100+,R (Language),1h 53m,2023,English,https://www.rottentomatoes.com/m/fingernails
Lone Survivor,"War, Drama",75%,227,87%,"100,000+",R (Strong Bloody War Violence|Pervasive Language),2h 1m,2013,English,https://www.rottentomatoes.com/m/lone_survivor
Foe,"Sci-fi, Mystery & thriller, Drama",24%,100,70%,50+,R (Language|Some Sexual Content|Nudity),1h 50m,2023,English,https://www.rottentomatoes.com/m/foe_2023
The Lincoln Lawyer,"Crime, Drama, Mystery & thriller",84%,177,82%,"50,000+",R (Sexual Content|Language|Some Violence),1h 59m,2011,English,https://www.rottentomatoes.com/m/lincoln_lawyer
Boy Erased,"Biography, Drama, Lgbtq+",81%,267,74%,"2,500+",R (Brief Drug Use|An Assault|Sexual Content|Some Language),1h 55m,2018,English,https://www.rottentomatoes.com/m/boy_erased
Operation Mincemeat,"War, History, Drama",83%,115,66%,500+,PG-13 (Disturbing Images|Brief War Violence|Smoking|Some Sexual Content|Strong Language),2h 8m,2021,English (United Kingdom),https://www.rottentomatoes.com/m/operation_mincemeat
Minions: The Rise of Gru,"Kids & family, Comedy, Adventure, Animation",69%,183,89%,"10,000+",PG (Some Action/Violence|Rude Humor),1h 27m,2022,English,https://www.rottentomatoes.com/m/minions_the_rise_of_gru
Love Again,"Romance, Comedy",27%,45,91%,250+,PG-13 (Some Strong Language|Some Sexual Material),1h 44m,2023,English,https://www.rottentomatoes.com/m/love_again_2023
Moana,"Kids & family, Musical, Comedy, Adventure, Animation",95%,288,89%,"50,000+",PG (Peril|Brief Thematic Elements|Some Scary Images),1h 53m,2016,English,https://www.rottentomatoes.com/m/moana_2016
The Many Saints of Newark,"Crime, Drama",71%,227,59%,500+,R (Sexual Content|Pervasive Language|Some Nudity|Strong Violence),2h 0m,2021,English,https://www.rottentomatoes.com/m/the_many_saints_of_newark
Ready or Not,"Horror, Mystery & thriller, Comedy",89%,321,78%,"5,000+",R (Language Throughout|Bloody Images|Some Drug Use|Violence),1h 35m,2019,English,https://www.rottentomatoes.com/m/ready_or_not_2019
The Polka King,"Biography, Comedy, Drama, Music",67%,36,50%,250+,,1h 35m,2017,English,https://www.rottentomatoes.com/m/the_polka_king
"Mission: Impossible - Dead Reckoning, Part One","Action, Adventure, Mystery & thriller",96%,424,94%,"5,000+",PG-13 (Intense Sequences of Violence|Action|Some Language|Suggestive Material),2h 43m,2023,English,https://www.rottentomatoes.com/m/mission_impossible_dead_reckoning_part_one
White Noise,"Comedy, Drama, Horror",64%,258,32%,"1,000+",R (Brief Violence and Language),2h 16m,2022,English,https://www.rottentomatoes.com/m/white_noise_2022
Master and Commander: The Far Side of the World,"Adventure, Drama, War",85%,224,80%,"100,000+",PG-13,2h 19m,2003,English,https://www.rottentomatoes.com/m/master_and_commander_the_far_side_of_the_world
Teen Spirit,"Drama, Music",71%,133,56%,250+,PG-13 (Teen Drinking and Smoking|Some Suggestive Content),1h 32m,2018,English,https://www.rottentomatoes.com/m/teen_spirit_2019
Meet Me in Paris,"Romance, Comedy, Reality",--,1,88%,Fewer,,1h 30m,2023,English,https://www.rottentomatoes.com/m/meet_me_in_paris
Moonrise Kingdom,"Comedy, Drama, Romance",93%,270,86%,"100,000+",PG-13 (Smoking|Sexual Content),1h 34m,2012,English,https://www.rottentomatoes.com/m/moonrise_kingdom
Sniper: The White Raven,"War, Action, Drama",75%,20,70%,50+,R (Some Sexuality/Nudity|Language|Bloody Images|Violence),1h 51m,2022,Ukrainian,https://www.rottentomatoes.com/m/sniper_the_white_raven
The Dark Knight,"Action, Adventure, Fantasy",94%,346,94%,"250,000+",PG-13 (Some Menace|Intense Sequences of Violence),2h 32m,2008,English,https://www.rottentomatoes.com/m/the_dark_knight
Friends With Benefits,"Romance, Comedy",69%,171,65%,"50,000+",R (Sexual Content|Language),1h 49m,2011,English,https://www.rottentomatoes.com/m/friends_with_benefits
The Forty-Year-Old Version,"Comedy, Drama, Music",99%,136,72%,250+,R (Some Drug Use|Brief Nudity|Sexual Content|Pervasive Language),2h 3m,2020,English,https://www.rottentomatoes.com/m/the_forty_year_old_version
Shooting Stars,"Biography, Drama, Sports",54%,35,69%,100+,PG-13 (Some Suggestive References|Teen Drinking|Strong Language),1h 55m,2023,English,https://www.rottentomatoes.com/m/shooting_stars_2023
Black Hawk Down,"War, Drama",77%,175,88%,"250,000+",R (Intense Realistic War Violence|Intense Graphic War Violence|Language),2h 24m,2001,English,https://www.rottentomatoes.com/m/black_hawk_down
Resistance: 1942,"War, History, Drama",--,4,90%,50+,,1h 50m,2021,English,https://www.rottentomatoes.com/m/resistance_1942
The Theory of Everything,"Biography, Drama, Romance",80%,273,84%,"50,000+",PG-13 (Suggestive Material|Some Thematic Elements),2h 3m,2014,English,https://www.rottentomatoes.com/m/the_theory_of_everything_2014
Please Don't Destroy: The Treasure of Foggy Mountain,"Comedy, Adventure, Kids & family",44%,27,95%,"1,000+",R (Some Drug Material|Brief Graphic Nudity|Sexual Material|Pervasive Language|Violence),1h 32m,2023,English,https://www.rottentomatoes.com/m/please_dont_destroy_the_treasure_of_foggy_mountain
Lez Bomb,"Holiday, Comedy, Lgbtq+",89%,9,64%,100+,,1h 29m,2018,English,https://www.rottentomatoes.com/m/lez_bomb
Black Christmas,"Holiday, Horror, Mystery & thriller",40%,116,31%,"1,000+",PG-13 (Violence|Language|Drinking|Thematic Content|Sexual Assault|Sexual Material|Terror),1h 32m,2019,English,https://www.rottentomatoes.com/m/black_christmas_2019
Cars,"Kids & family, Comedy, Adventure, Animation",75%,204,80%,"250,000+",G,1h 57m,2006,English,https://www.rottentomatoes.com/m/cars
The Jester,"Horror, Mystery & thriller",29%,7,35%,50+,,1h 30m,2023,English,https://www.rottentomatoes.com/m/the_jester_2023
The Trial of the Chicago 7,"History, Drama",89%,343,90%,"2,500+",R (Drug Use|Bloody Images|Language Throughout|Some Violence),2h 9m,2020,English,https://www.rottentomatoes.com/m/the_trial_of_the_chicago_7
Cold Pursuit,"Action, Mystery & thriller",68%,189,49%,"2,500+",R (Sexual References|Drug Material|Some Language|Strong Violence),1h 58m,2019,English,https://www.rottentomatoes.com/m/cold_pursuit
"Ruby Gillman, Teenage Kraken","Kids & family, Comedy, Adventure, Fantasy, Animation",66%,97,81%,250+,PG (Some Action|Rude Humor|Thematic Elements),1h 31m,2023,English,https://www.rottentomatoes.com/m/ruby_gillman_teenage_kraken
The Last Voyage of the Demeter,Horror,49%,190,75%,500+,R (Bloody Violence),1h 58m,2023,English,https://www.rottentomatoes.com/m/the_last_voyage_of_the_demeter
The Endless,"Horror, Sci-fi, Mystery & thriller",92%,132,67%,"2,500+",,1h 51m,2017,English,https://www.rottentomatoes.com/m/the_endless
The Wailing,"Mystery & thriller, Horror",99%,86,81%,"5,000+",,2h 36m,2016,Korean,https://www.rottentomatoes.com/m/the_wailing
Cars 3,"Kids & family, Comedy, Adventure, Animation",69%,234,69%,"25,000+",G,1h 49m,2017,English,https://www.rottentomatoes.com/m/cars_3
The Banshees of Inisherin,Comedy,96%,365,75%,500+,R (Language Throughout|Brief Graphic Nudity|Some Violent Content),1h 49m,2022,English,https://www.rottentomatoes.com/m/the_banshees_of_inisherin
Hearts Beat Loud,"Comedy, Drama, Music",92%,159,74%,"1,000+",PG-13 (Some Drug References|Brief Language),1h 37m,2018,English,https://www.rottentomatoes.com/m/hearts_beat_loud
The Maestro,"Biography, History, Drama, Music",83%,6,90%,Fewer,,1h 34m,2018,English,https://www.rottentomatoes.com/m/the_maestro
A Call to Spy,"History, Drama",71%,51,77%,100+,PG-13 (Smoking|Language|Disturbing Images|Some Strong Violence),2h 4m,2019,English,https://www.rottentomatoes.com/m/a_call_to_spy
The Sparks Brothers,"Documentary, Music",96%,163,98%,100+,R (Language),2h 21m,2021,English,https://www.rottentomatoes.com/m/the_sparks_brothers
Lamborghini: The Man Behind the Legend,"Biography, Drama",6%,17,59%,250+,R (Some Language|A Sexual Reference),1h 37m,2022,English,https://www.rottentomatoes.com/m/lamborghini_the_man_behind_the_legend
The Patriot,"War, History, Drama, Action",62%,138,81%,"250,000+",R (Strong Violence),2h 38m,2000,English,https://www.rottentomatoes.com/m/1098149-patriot
A Christmas Prince,"Holiday, Romance",73%,11,48%,250+,TVPG,1h 32m,2017,English,https://www.rottentomatoes.com/m/a_christmas_prince
The Marsh King's Daughter,"Mystery & thriller, Drama",38%,37,74%,50+,R,1h 48m,2023,English,https://www.rottentomatoes.com/m/the_marsh_kings_daughter
Mosul,"Mystery & thriller, Drama, War",84%,32,83%,250+,,1h 26m,2019,English,https://www.rottentomatoes.com/m/mosul_2020
Everybody's Everything,"Documentary, Music",100%,21,99%,100+,,1h 56m,2019,English,https://www.rottentomatoes.com/m/everybodys_everything
See You on Venus,"Romance, Drama",--,2,82%,Fewer,,1h 34m,2023,English,https://www.rottentomatoes.com/m/see_you_on_venus
The Super Mario Bros. Movie,"Kids & family, Comedy, Adventure, Animation",59%,277,95%,"10,000+",PG (Action and Mild Violence),1h 32m,2023,English,https://www.rottentomatoes.com/m/the_super_mario_bros_movie
Fatman,"Holiday, Fantasy, Comedy, Mystery & thriller",44%,119,84%,Fewer,R (Language|Bloody Violence),1h 40m,2020,English,https://www.rottentomatoes.com/m/fatman
Mary,"Horror, Mystery & thriller",4%,27,18%,50+,R (Some Terror|Language|Violence),1h 24m,2019,English,https://www.rottentomatoes.com/m/mary_2019
War of the Worlds,"Sci-fi, Adventure, Action",76%,267,42%,"250,000+",PG-13 (Frightening Sequences|Disturbing Images|Sci-Fi Violence),1h 56m,2005,English,https://www.rottentomatoes.com/m/war_of_the_worlds
The Lost Weekend: A Love Story,"Documentary, Biography, Music",88%,16,91%,50+,,1h 37m,2022,English,https://www.rottentomatoes.com/m/the_lost_weekend_a_love_story
Jesus Revolution,"Drama, History",55%,56,99%,"5,000+",PG-13 (Strong Drug Content|Some Thematic Elements),1h 59m,2023,English,https://www.rottentomatoes.com/m/jesus_revolution
A Very Murray Christmas,"Holiday, Variety, Comedy, Music",68%,50,38%,"1,000+",,56m,2015,English,https://www.rottentomatoes.com/m/a_very_murray_christmas
The Great Battle,"Action, Adventure, War",86%,7,85%,100+,,2h 15m,2018,Korean,https://www.rottentomatoes.com/m/the_great_battle
Guardians of the Galaxy Vol. 3,"Sci-fi, Adventure, Action, Fantasy, Comedy",82%,401,94%,"10,000+",PG-13 (Intense Sequences of Violence|Action|Strong Language|Suggestive/Drug References|Thematic Elements),2h 30m,2023,English,https://www.rottentomatoes.com/m/guardians_of_the_galaxy_vol_3
The Mitchells vs. the Machines,"Kids & family, Comedy, Adventure, Animation, Action, Sci-fi",97%,213,89%,"2,500+",PG (Action and Some Language),1h 54m,2021,English,https://www.rottentomatoes.com/m/the_mitchells_vs_the_machines
Land of Mine,"War, History, Drama",92%,107,89%,"5,000+",R (Some Grisly Images|Language|Violence),1h 40m,2015,German,https://www.rottentomatoes.com/m/land_of_mine
Kung Fu Panda 2,"Kids & family, Comedy, Adventure, Animation",81%,186,74%,"100,000+",PG (Seq. of Martial Arts Action|Mild Violence),1h 30m,2011,English,https://www.rottentomatoes.com/m/kung_fu_panda_the_kaboom_of_doom
The Star,"Kids & family, Holiday, Comedy, Adventure, Animation",43%,53,70%,"2,500+",PG (Some Thematic Elements),1h 26m,2017,English,https://www.rottentomatoes.com/m/the_star_2017
Black Adam,"Action, Adventure, Fantasy",38%,304,88%,"5,000+",PG-13 (Sequences of Strong Violence|Intense Action|Some Language),2h 5m,2022,English,https://www.rottentomatoes.com/m/black_adam
Scrapper,"Comedy, Drama",93%,106,82%,50+,,1h 24m,2023,English,https://www.rottentomatoes.com/m/scrapper_2023
The Ice Storm,Drama,86%,70,82%,"25,000+",R,1h 53m,1997,English,https://www.rottentomatoes.com/m/ice_storm
A Private War,"Biography, Drama, War",88%,147,62%,"1,000+",R (Disturbing Violent Images|Brief Sexuality/Nudity|Language Throughout),1h 50m,2018,English,https://www.rottentomatoes.com/m/a_private_war
Good Night Oppy,Documentary,87%,92,100%,Fewer,PG,1h 45m,2022,English,https://www.rottentomatoes.com/m/good_night_oppy
The Adventures of Tintin,"Kids & family, Adventure, Animation",75%,236,74%,"50,000+",PG (Brief Smoking|Adventure Action Violence|Some Drunkenness),1h 47m,2011,English,https://www.rottentomatoes.com/m/the_adventures_of_tintin
Iron Man 2,"Action, Adventure, Sci-fi, Fantasy",72%,304,71%,"250,000+",PG-13 (Some Language|Intense Sci-Fi Action|Violence),2h 4m,2010,English,https://www.rottentomatoes.com/m/iron_man_2
The Santa Clause,"Kids & family, Holiday, Comedy",73%,59,65%,"250,000+",PG,1h 37m,1994,English,https://www.rottentomatoes.com/m/santa_clause
Saturday Night Fever,"Drama, Music",82%,55,72%,"100,000+",R,1h 59m,1977,English,https://www.rottentomatoes.com/m/saturday_night_fever
The Secret World of Arrietty,"Kids & family, Fantasy, Adventure, Anime",94%,152,85%,"10,000+",G,1h 35m,2010,Japanese,https://www.rottentomatoes.com/m/the_secret_world_of_arrietty
Skin: A History of Nudity in the Movies,Documentary,85%,40,71%,Fewer,,2h 10m,2020,English,https://www.rottentomatoes.com/m/skin_a_history_of_nudity_in_the_movies
Blinded by the Light,"Comedy, Drama, Music",89%,263,91%,"2,500+",PG-13 (Some Ethnic Slurs|Language|Thematic Material),1h 54m,2019,English,https://www.rottentomatoes.com/m/blinded_by_the_light
Molly's Game,"Biography, Drama",82%,310,84%,"10,000+",R (Language|Drug Content|Some Violence),2h 21m,2017,English,https://www.rottentomatoes.com/m/mollys_game
High Life,"Sci-fi, Mystery & thriller, Adventure",82%,238,42%,"1,000+",R (Disturbing Violent Content|Disturbing Sexual Content|Graphic Nudity|Language|Sexual Assault),1h 53m,2018,English,https://www.rottentomatoes.com/m/high_life_2019
The Untouchables,"Crime, Drama",83%,75,89%,"100,000+",R,1h 59m,1987,English,https://www.rottentomatoes.com/m/untouchables
The Lodge,"Horror, Mystery & thriller",75%,183,51%,250+,R (Language and Brief Nudity|Disturbing Violence|Some Bloody Images),1h 48m,2019,English,https://www.rottentomatoes.com/m/the_lodge
Alien: Covenant,"Sci-fi, Horror, Mystery & thriller",65%,409,55%,"50,000+",R (Language|Bloody Images|Sci-Fi Violence|Some Sexuality/Nudity),2h 2m,2017,English,https://www.rottentomatoes.com/m/alien_covenant
Talk to Me,"Horror, Mystery & thriller",94%,285,82%,"1,000+",R (Some Sexual Material|Language Throughout|Strong/Bloody Violent Content),1h 35m,2023,English,https://www.rottentomatoes.com/m/talk_to_me_2023
Milli Vanilli,"Documentary, Biography, Music",100%,25,90%,50+,,1h 46m,2023,English,https://www.rottentomatoes.com/m/milli_vanilli
Eye in the Sky,"Mystery & thriller, War, Drama",95%,222,82%,"25,000+",R (Some Violent Images|Language),1h 42m,2015,English,https://www.rottentomatoes.com/m/eye_in_the_sky
The Kid,"Western, Drama",44%,48,46%,250+,R (Violence and Language),1h 40m,2019,English,https://www.rottentomatoes.com/m/the_kid_2019
News of the World,"Western, Adventure, Drama",88%,273,89%,"1,000+",PG-13 (Some Language|Disturbing Images|Thematic Material|Violence),1h 58m,2020,English,https://www.rottentomatoes.com/m/news_of_the_world
Magic Mike's Last Dance,"Comedy, Drama, Romance",48%,227,73%,"1,000+",R (Sexual Material and Language),1h 52m,2023,English,https://www.rottentomatoes.com/m/magic_mikes_last_dance
Midnight in the Switchgrass,"Mystery & thriller, Crime, Drama",8%,38,20%,Fewer,R (Violence|Language Throughout),1h 39m,2021,English,https://www.rottentomatoes.com/m/midnight_in_the_switchgrass
Ride Your Wave,"Comedy, Anime",93%,29,82%,50+,,1h 34m,2019,Japanese,https://www.rottentomatoes.com/m/ride_your_wave
Locked In,"Crime, Drama, Mystery & thriller",29%,7,24%,50+,,1h 36m,2023,English,https://www.rottentomatoes.com/m/locked_in_2023
Murder Mystery,"Comedy, Mystery & thriller, Crime",44%,70,45%,"1,000+",PG-13 (Crude Sexual Content|Violence/Bloody Images|Language),1h 37m,2019,English,https://www.rottentomatoes.com/m/murder_mystery
Evil Dead Rise,"Horror, Mystery & thriller, Fantasy",84%,232,76%,"2,500+",R (Some Language|Gore|Strong Bloody Horror Violence),1h 36m,2023,English,https://www.rottentomatoes.com/m/evil_dead_rise
Fantastic Four,"Action, Adventure, Sci-fi, Fantasy",9%,263,18%,"100,000+",PG-13 (Sci-Fi Action Violence|Language),1h 40m,2015,English,https://www.rottentomatoes.com/m/fantastic_four_2015
The Guardians of the Galaxy Holiday Special,"Action, Adventure, Comedy, Holiday",94%,62,80%,"1,000+",,44m,2022,English,https://www.rottentomatoes.com/m/the_guardians_of_the_galaxy_holiday_special
Luca,"Kids & family, Comedy, Fantasy, Animation",91%,304,85%,"2,500+",PG (Language|Brief Violence|Rude Humor|Some Thematic Elements),1h 40m,2021,English,https://www.rottentomatoes.com/m/luca_2021
One Piece: Stampede,"Fantasy, Anime, Adventure",94%,16,99%,500+,,1h 40m,2019,Japanese,https://www.rottentomatoes.com/m/one_piece_stampede
57 Seconds,"Action, Mystery & thriller, Sci-fi",13%,8,54%,50+,R (Violence and Language),1h 39m,2023,English,https://www.rottentomatoes.com/m/57_seconds
A Secret Love,"Documentary, Drama, Lgbtq+",100%,55,88%,100+,,1h 23m,2020,English,https://www.rottentomatoes.com/m/a_secret_love
Godzilla: King of the Monsters,"Sci-fi, Action, Adventure",42%,353,83%,"25,000+",PG-13 (Monster Action Violence|Destruction|Some Language),2h 12m,2019,English,https://www.rottentomatoes.com/m/godzilla_king_of_the_monsters_2019
Rango,"Kids & family, Comedy, Adventure, Animation",88%,228,70%,"100,000+",PG (Language|Action|Rude Humor|Smoking),1h 45m,2011,English,https://www.rottentomatoes.com/m/rango
Free State of Jones,"History, Drama, Biography, War",47%,194,64%,"10,000+",R (Disturbing Graphic Images|Brutal Battle Scenes),2h 19m,2016,English,https://www.rottentomatoes.com/m/free_state_of_jones
The Shape of Water,"Fantasy, Romance",92%,465,72%,"25,000+",R (Language|Graphic Nudity|Sexual Content|Violence),2h 3m,2017,English,https://www.rottentomatoes.com/m/the_shape_of_water_2017
The King,"History, Drama, Biography",71%,148,83%,"2,500+",R (Some Strong Violence|Language),2h 20m,2019,English,https://www.rottentomatoes.com/m/the_king_2019
Fred Claus,"Holiday, Comedy",21%,143,45%,"250,000+",PG (Some Rude Humor|Mild Language),1h 56m,2007,English,https://www.rottentomatoes.com/m/1175076-fred_claus
Rye Lane,"Romance, Comedy, Drama",98%,128,87%,250+,R (Some Sexual Content|Nudity|Language),1h 22m,2023,English,https://www.rottentomatoes.com/m/rye_lane
Bad Santa 2,"Holiday, Comedy",23%,135,34%,"10,000+",R (Language Throughout|Crude Sexual Content|Some Graphic Nudity),1h 32m,2016,English,https://www.rottentomatoes.com/m/bad_santa_2
Gaza,Documentary,96%,23,85%,Fewer,,1h 30m,2019,Arabic,https://www.rottentomatoes.com/m/gaza
She Came to Me,"Comedy, Drama, Romance",47%,64,77%,100+,R (Some Language),1h 42m,2023,English,https://www.rottentomatoes.com/m/she_came_to_me
Jingle All the Way,"Kids & family, Holiday, Comedy",20%,46,39%,"100,000+",PG,1h 28m,1996,English,https://www.rottentomatoes.com/m/jingle_all_the_way
Lightyear,"Kids & family, Comedy, Adventure, Sci-fi, Animation, Action",74%,319,84%,"5,000+",PG (Action/Peril),1h 40m,2022,English,https://www.rottentomatoes.com/m/lightyear
A Quiet Place Part II,"Horror, Sci-fi, Mystery & thriller",91%,369,92%,"5,000+",PG-13 (Terror|Bloody/Disturbing Images|Violence),1h 37m,2021,English,https://www.rottentomatoes.com/m/a_quiet_place_part_ii
Brimstone,"Western, Mystery & thriller",43%,76,53%,"1,000+",R (Disturbing Behavior|Brutal Bloody Violence|Graphic Nudity|Language|Strong Sexual Content),2h 28m,2016,English,https://www.rottentomatoes.com/m/brimstone_2017
Best. Christmas. Ever!,"Holiday, Romance, Comedy",38%,16,21%,100+,,1h 20m,2023,English,https://www.rottentomatoes.com/m/best_christmas_ever
Born to Play,"Documentary, Sports & fitness",100%,6,--,,,1h 32m,2020,English,https://www.rottentomatoes.com/m/born_to_play
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,"Fantasy, Adventure, Action, Anime",98%,49,99%,"10,000+",R (Violence and Bloody Images),1h 57m,2020,Japanese,https://www.rottentomatoes.com/m/demon_slayer_kimetsu_no_yaiba_the_movie_mugen_train
The Return of Tanya Tucker: Featuring Brandi Carlile,"Documentary, Music",92%,49,96%,Fewer,R,1h 48m,2022,English,https://www.rottentomatoes.com/m/the_return_of_tanya_tucker
Space Jam: A New Legacy,"Kids & family, Comedy, Adventure, Fantasy",25%,229,79%,"1,000+",PG (Some Language|Some Cartoon Violence),1h 55m,2021,English,https://www.rottentomatoes.com/m/space_jam_a_new_legacy
Pelé,"Documentary, Biography, Sports & fitness",84%,31,75%,50+,,1h 49m,2021,English,https://www.rottentomatoes.com/m/pele_2021
Megamind,"Kids & family, Comedy, Adventure, Animation",73%,182,72%,"100,000+",PG (Some Language|Action),1h 36m,2010,English,https://www.rottentomatoes.com/m/megamind
Rocketman,"Musical, Biography, Drama, Lgbtq+",89%,401,88%,"10,000+",R (Sexual Content|Language Throughout|Some Drug Use),2h 1m,2019,English,https://www.rottentomatoes.com/m/rocketman_2019
The Irishman,"Crime, Drama",95%,468,86%,"1,000+",R (Strong Violence|Pervasive Language),3h 29m,2019,English,https://www.rottentomatoes.com/m/the_irishman
Nightmare Alley,"Mystery & thriller, Crime, Drama",80%,355,68%,"1,000+",R (Nudity|Language|Some Sexual Content|Strong/Bloody Violence),2h 30m,2021,English,https://www.rottentomatoes.com/m/nightmare_alley_2021
Clouds,"Biography, Drama, Music",76%,25,88%,250+,PG-13 (Brief Strong Language),2h 1m,2020,English,https://www.rottentomatoes.com/m/clouds_2020
BS High,"Documentary, Sports",100%,14,89%,Fewer,,1h 35m,2023,English,https://www.rottentomatoes.com/m/bs_high
Don't Worry Darling,Mystery & thriller,38%,352,74%,"1,000+",R (Sexuality|Language|Violent Content),2h 3m,2022,English,https://www.rottentomatoes.com/m/dont_worry_darling
Hook,"Kids & family, Fantasy, Adventure",29%,65,76%,"250,000+",PG,2h 24m,1991,English,https://www.rottentomatoes.com/m/hook
The Caine Mutiny Court-Martial,"Drama, War",94%,49,83%,Fewer,,1h 48m,2023,English,https://www.rottentomatoes.com/m/the_caine_mutiny_court_martial_2023
65,"Sci-fi, Adventure, Action, Mystery & thriller",34%,124,65%,"1,000+",PG-13 (Intense Sci-Fi Action|Brief Bloody Images|Peril),1h 33m,2023,English,https://www.rottentomatoes.com/m/65
Crock of Gold: A Few Rounds With Shane MacGowan,"Documentary, Music",96%,55,92%,50+,,2h 4m,2020,English,https://www.rottentomatoes.com/m/crock_of_gold
Allied,"History, Drama, War, Mystery & thriller, Romance, Action",60%,259,64%,"25,000+",R (Language|Brief Drug Use|Some Sexuality/Nudity|Violence),1h 59m,2016,English,https://www.rottentomatoes.com/m/allied
True Grit,"Western, Drama",95%,279,85%,"100,000+",PG-13 (Int. Seq. of Western Violence|Disturbing Images),1h 50m,2010,English,https://www.rottentomatoes.com/m/true_grit_2010
White Boy Rick,"Crime, Drama, Biography",57%,159,50%,"1,000+",R (Drug Content|Brief Nudity|Language Throughout|Some Sexual References|Violence),1h 51m,2018,English,https://www.rottentomatoes.com/m/white_boy_rick
Ocean Waves,"Adventure, Drama, Anime",89%,18,64%,"1,000+",PG-13 (Some Thematic Material),1h 12m,1993,Japanese,https://www.rottentomatoes.com/m/ocean_waves_2016
Leo,"Kids & family, Musical, Comedy, Animation",78%,50,95%,500+,PG (Rude/Suggestive Material|Some Language),1h 45m,2023,English,https://www.rottentomatoes.com/m/leo_2023
Influencer,"Horror, Mystery & thriller",92%,51,71%,250+,,1h 32m,2023,English,https://www.rottentomatoes.com/m/influencer
The Nun II,"Horror, Mystery & thriller",52%,137,73%,"1,000+",R (Violent Content|Some Terror),1h 50m,2023,English,https://www.rottentomatoes.com/m/the_nun_ii
Iron Man,"Action, Adventure, Sci-fi, Fantasy",94%,281,91%,"250,000+",PG-13 (Intense Sci-Fi Action/Violence|Brief Suggestive Content),2h 6m,2008,English,https://www.rottentomatoes.com/m/iron_man
Shadow in the Cloud,"Action, Horror, War",77%,133,32%,"1,000+",R,1h 23m,2020,English,https://www.rottentomatoes.com/m/shadow_in_the_cloud
Life,"Sci-fi, Horror, Mystery & thriller",68%,261,54%,"25,000+",R (Some Sci-Fi Violence|Language Throughout|Terror),1h 43m,2017,English,https://www.rottentomatoes.com/m/life_2017
The Wind,"Horror, Mystery & thriller, Western",81%,70,49%,250+,R (Some Sexuality|Violence/Disturbing Images),1h 26m,2018,English,https://www.rottentomatoes.com/m/the_wind_2019
Eternals,"Action, Adventure, Fantasy",47%,413,77%,"10,000+",PG-13 (Fantasy Violence and Action|Brief Sexuality|Some Language),2h 37m,2021,English,https://www.rottentomatoes.com/m/eternals
Scream VI,"Holiday, Horror, Mystery & thriller",76%,309,91%,"5,000+",R (Language Throughout|Brief Drug Use|Strong Bloody Violence),2h 3m,2023,English,https://www.rottentomatoes.com/m/scream_vi
Thor,"Action, Adventure, Fantasy",77%,296,76%,"250,000+",PG-13 (Intense Sci-Fi Action/Violence),1h 53m,2011,English,https://www.rottentomatoes.com/m/thor
Love at First Sight,"Romance, Comedy",73%,48,81%,250+,PG-13 (Brief Strong Language|Some Suggestive References),1h 30m,2023,English,https://www.rottentomatoes.com/m/love_at_first_sight_2023
Three Thousand Years of Longing,"Fantasy, Drama",71%,258,73%,500+,R (Graphic Nudity|Brief Violence|Some Sexual Content),1h 48m,2022,English,https://www.rottentomatoes.com/m/three_thousand_years_of_longing
