Title,Genre,ReleaseYear,Rating,VoteCount,Duration
Cold in July,"['Crime', 'Thriller']",2014,6.7,37141,1.8166666666666667
The Hunger Games: Mockingjay - Part 2,"['Action', 'Adventure', 'Sci-Fi']",2015,6.5,356473,2.283333333333333
Sicario,"['Action', 'Crime', 'Drama']",2015,7.7,460178,2.0166666666666666
Mad Max: Fury Road,"['Action', 'Adventure', 'Sci-Fi']",2015,8.1,1056812,2.0
The Revenant,"['Action', 'Adventure', 'Drama']",2015,8.0,851506,2.6
Spectre,"['Action', 'Adventure', 'Thriller']",2015,6.8,458933,2.466666666666667
Fantastic Four,"['Action', 'Adventure', 'Sci-Fi']",2015,4.3,173943,1.6666666666666667
Jurassic World,"['Action', 'Adventure', 'Sci-Fi']",2015,6.9,669115,2.066666666666667
Avengers: Age of Ultron,"['Action', 'Adventure', 'Sci-Fi']",2015,7.3,905543,2.35
Mission: Impossible - Rogue Nation,"['Action', 'Adventure', 'Thriller']",2015,7.4,403064,2.183333333333333
Star Wars: Episode VII - The Force Awakens,"['Action', 'Adventure', 'Sci-Fi']",2015,7.8,961179,2.3
The Man from U.N.C.L.E.,"['Action', 'Adventure', 'Comedy']",2015,7.2,326477,1.9333333333333333
Tomorrowland,"['Action', 'Adventure', 'Family']",2015,6.4,188798,2.1666666666666665
Terminator Genisys,"['Action', 'Adventure', 'Sci-Fi']",2015,6.3,289273,2.1
Ant-Man,"['Action', 'Comedy', 'Sci-Fi']",2015,7.3,708627,1.95
Spy,"['Action', 'Comedy']",2015,7.0,254990,2.0
Pixels,"['Action', 'Comedy', 'Fantasy']",2015,5.6,155240,1.75
Southpaw,"['Action', 'Drama', 'Sport']",2015,7.3,252960,2.066666666666667
Suburra,"['Action', 'Crime', 'Drama']",2015,7.4,21403,2.1666666666666665
Furious 7,"['Action', 'Crime', 'Thriller']",2015,7.1,408748,2.283333333333333
Baahubali: The Beginning,"['Action', 'Drama']",2015,8.0,133294,2.65
Creed,"['Action', 'Drama', 'Sport']",2015,7.6,304962,2.216666666666667
Maze Runner: The Scorch Trials,"['Action', 'Adventure', 'Sci-Fi']",2015,6.3,268307,2.183333333333333
Everest,"['Action', 'Adventure', 'Biography']",2015,7.1,227686,2.0166666666666666
The Divergent Series: Insurgent,"['Action', 'Adventure', 'Sci-Fi']",2015,6.2,250223,1.9833333333333334
San Andreas,"['Action', 'Adventure', 'Thriller']",2015,6.1,251925,1.9
In the Heart of the Sea,"['Action', 'Adventure', 'Biography']",2015,6.9,146358,2.033333333333333
Attack on Titan Part 1,"['Action', 'Adventure', 'Drama']",2015,5.0,15244,1.6333333333333333
No Escape,"['Action', 'Thriller']",2015,6.7,91239,1.7166666666666666
Pan,"['Action', 'Adventure', 'Comedy']",2015,5.7,66592,1.85
Paul Blart: Mall Cop 2,"['Action', 'Comedy', 'Crime']",2015,4.4,40245,1.5666666666666667
The Last Witch Hunter,"['Action', 'Adventure', 'Fantasy']",2015,5.9,108255,1.7666666666666666
Wild Card,"['Action', 'Crime', 'Drama']",2015,5.6,58916,1.5333333333333334
Hitman: Agent 47,"['Action', 'Crime', 'Thriller']",2015,5.7,94512,1.6
The Transporter Refueled,"['Action', 'Thriller']",2015,5.2,44133,1.6
The Ridiculous 6,"['Action', 'Adventure', 'Comedy']",2015,4.8,52532,1.9833333333333334
Chappie,"['Action', 'Crime', 'Drama']",2015,6.8,265228,2.0
Jupiter Ascending,"['Action', 'Adventure', 'Sci-Fi']",2015,5.3,192902,2.1166666666666667
Blackhat,"['Action', 'Crime', 'Thriller']",2015,5.5,63153,2.216666666666667
Hardcore Henry,"['Action', 'Adventure', 'Sci-Fi']",2015,6.7,100360,1.6
Last Knights,"['Action', 'Drama', 'History']",2015,6.2,44990,1.9166666666666667
Landmine Goes Click,"['Action', 'Crime', 'Drama']",2015,5.8,6447,1.75
Point Break,"['Action', 'Adventure', 'Crime']",2015,5.3,65423,1.9
Eye in the Sky,"['Action', 'Drama', 'Thriller']",2015,7.3,90262,1.7
Run All Night,"['Action', 'Crime', 'Thriller']",2015,6.6,113650,1.9
Slow West,"['Action', 'Adventure', 'Drama']",2015,6.9,47284,1.4
Bajrangi Bhaijaan,"['Action', 'Adventure', 'Comedy']",2015,8.1,95206,2.716666666666667
Scouts Guide to the Zombie Apocalypse,"['Action', 'Comedy', 'Horror']",2015,6.3,53731,1.55
Mr. Right,"['Action', 'Comedy', 'Romance']",2015,6.3,59504,1.5833333333333333
MI-5,"['Action', 'Drama', 'Thriller']",2015,6.2,23581,1.7333333333333334
The Wave,"['Action', 'Drama', 'Thriller']",2015,6.6,41675,1.75
Inside Out,"['Animation', 'Adventure', 'Comedy']",2015,8.1,762721,1.5833333333333333
The Martian,"['Adventure', 'Drama', 'Sci-Fi']",2015,8.0,901562,2.4
Cinderella,"['Adventure', 'Drama', 'Family']",2015,6.9,187097,1.75
Vacation,"['Adventure', 'Comedy']",2015,6.1,119548,1.65
Minions,"['Animation', 'Adventure', 'Comedy']",2015,6.4,253379,1.5166666666666666
Goosebumps,"['Adventure', 'Comedy', 'Fantasy']",2015,6.3,94169,1.7166666666666666
The Good Dinosaur,"['Animation', 'Adventure', 'Comedy']",2015,6.7,124465,1.55
I Am Dragon,"['Adventure', 'Fantasy', 'Romance']",2015,6.8,6017,1.8333333333333333
Home,"['Animation', 'Adventure', 'Comedy']",2015,6.5,109513,1.5666666666666667
The Peanuts Movie,"['Animation', 'Adventure', 'Comedy']",2015,7.0,48903,1.4666666666666666
Hotel Transylvania 2,"['Animation', 'Adventure', 'Comedy']",2015,6.6,138994,1.4833333333333334
Max,"['Adventure', 'Drama', 'Family']",2015,6.6,27877,1.85
Alvin and the Chipmunks: The Road Chip,"['Adventure', 'Comedy', 'Family']",2015,4.9,21810,1.5333333333333334
The SpongeBob Movie: Sponge Out of Water,"['Animation', 'Adventure', 'Comedy']",2015,6.0,59898,1.5333333333333334
Eddie the Eagle,"['Adventure', 'Biography', 'Comedy']",2015,7.3,98607,1.7666666666666666
Paper Towns,"['Adventure', 'Comedy', 'Drama']",2015,6.2,106860,1.8166666666666667
The Walk,"['Adventure', 'Biography', 'Drama']",2015,7.3,133712,2.05
Dope,"['Adventure', 'Comedy', 'Crime']",2015,7.2,88577,1.7166666666666666
The Little Prince,"['Animation', 'Adventure', 'Drama']",2015,7.7,65464,1.8
Mortdecai,"['Action', 'Adventure', 'Comedy']",2015,5.5,75938,1.7833333333333334
Queen of the Desert,"['Adventure', 'Biography', 'Drama']",2015,5.7,12308,2.1333333333333333
A Walk in the Woods,"['Adventure', 'Biography', 'Comedy']",2015,6.4,28630,1.7333333333333334
Turbo Kid,"['Action', 'Adventure', 'Comedy']",2015,6.7,29326,1.55
Attack on Titan Part 2,"['Action', 'Adventure', 'Fantasy']",2015,4.7,5916,1.45
Anomalisa,"['Animation', 'Comedy', 'Drama']",2015,7.3,74483,1.5
Strange Magic,"['Animation', 'Adventure', 'Comedy']",2015,5.7,11991,1.65
Shaun the Sheep Movie,"['Animation', 'Adventure', 'Comedy']",2015,7.3,42695,1.4166666666666667
Cobain: Montage of Heck,"['Documentary', 'Animation', 'Biography']",2015,7.5,31663,2.2
Boruto: Naruto the Movie,"['Animation', 'Action', 'Adventure']",2015,7.8,11823,1.5833333333333333
The Boy and the Beast,"['Animation', 'Action', 'Adventure']",2015,7.6,26184,1.9833333333333334
Zoom,"['Animation', 'Comedy', 'Drama']",2015,6.1,2974,1.6
Hell and Back,"['Animation', 'Adventure', 'Comedy']",2015,5.3,5229,1.4333333333333333
The Autobots,"['Animation', 'Adventure', 'Family']",2015,1.1,407,1.4166666666666667
Regular Show: The Movie,"['Animation', 'Action', 'Adventure']",2015,7.4,5736,1.1666666666666667
April and the Extraordinary World,"['Animation', 'Adventure', 'Comedy']",2015,7.2,8263,1.75
"Dragon Ball Z: Resurrection ""F""","['Animation', 'Action', 'Adventure']",2015,7.2,23516,1.55
Birdboy: The Forgotten Children,"['Animation', 'Drama', 'Horror']",2015,7.2,3028,1.2666666666666666
Open Season: Scared Silly,"['Animation', 'Adventure', 'Comedy']",2015,5.0,3621,1.4
Gekijôban Shingeki no Kyojin Kôhen: Jiyû no tsubasa,"['Animation', 'Action', 'Fantasy']",2015,7.9,3650,2.0
Bilal: A New Breed of Hero,"['Animation', 'Action', 'Adventure']",2015,7.6,19113,1.75
Psycho-Pass: The Movie,"['Animation', 'Action', 'Crime']",2015,7.1,4377,1.8833333333333333
Miss Hokusai,"['Animation', 'Biography', 'Drama']",2015,6.7,3438,1.55
Doraemon: Nobita no uchuu eiyuuki,"['Animation', 'Action', 'Adventure']",2015,6.5,809,1.6666666666666667
Capture the Flag,"['Animation', 'Adventure', 'Comedy']",2015,5.8,4070,1.5666666666666667
Snowtime!,"['Animation', 'Comedy', 'Drama']",2015,6.0,1478,1.3666666666666667
Digimon Adventure tri. Part 1: Reunion,"['Animation', 'Action', 'Adventure']",2015,7.3,1871,1.6
Ghost in the Shell: The New Movie,"['Animation', 'Action', 'Sci-Fi']",2015,6.6,4061,1.6666666666666667
Long Way North,"['Animation', 'Adventure', 'Drama']",2015,7.2,3818,1.35
All Creatures Big And Small,"['Animation', 'Adventure', 'Comedy']",2015,5.8,4980,1.45
Love Live! The School Idol Movie,"['Animation', 'Comedy', 'Drama']",2015,6.9,640,1.65
A.C.O.R.N.S.: Operation Crackdown,"['Animation', 'Comedy', 'Family']",2015,3.6,442,1.3833333333333333
The Guardian Brothers,"['Animation', 'Comedy', 'Family']",2015,5.5,2267,1.7166666666666666
Blinky Bill the Movie,"['Animation', 'Adventure', 'Family']",2015,5.1,880,1.55
Barbie in Rock 'N Royals,"['Animation', 'Family', 'Music']",2015,5.9,1196,1.3333333333333333
The Murder Case of Hana & Alice,"['Animation', 'Drama']",2015,7.1,2240,1.6666666666666667
Detective Conan: Sunflowers of Inferno,"['Animation', 'Action', 'Adventure']",2015,6.2,1715,1.8666666666666667
Pokémon the Movie: Hoopa and the Clash of Ages,"['Animation', 'Action', 'Adventure']",2015,5.9,2037,1.3166666666666667
A Warrior's Tail,"['Animation', 'Adventure', 'Fantasy']",2015,4.4,1118,1.4166666666666667
Monkey King: Hero Is Back,"['Animation', 'Action', 'Adventure']",2015,6.7,4631,1.4833333333333334
Night of the Living Dead: Darkest Dawn,"['Animation', 'Action', 'Horror']",2015,3.8,446,1.0333333333333334
The Anthem of the Heart,"['Animation', 'Drama', 'Family']",2015,7.3,6195,1.9833333333333334
November Tenth,"['Animation', 'Action', 'Adventure']",2015,6.4,3128,1.65
When Black Birds Fly,"['Animation', 'Horror', 'Mystery']",2015,5.7,334,1.75
